right,left,totalpop
359,79,1691
759,117,2235
47,96,346
73,219,1095
48,50,204
93,16,321
225,56,968
35,620,1158
251,93,885
262,35,1956
103,12,299
21,246,624
125,85,528
245,247,1040
491,70,850
41,44,172
176,170,816
60,33,261
56,69,221
382,161,1864
327,84,1494
95,26,277
263,135,2626
540,203,1394
3,194,571
529,211,1565
111,116,1113
101,127,906
817,221,3274
184,49,505
127,26,286
184,77,684
178,53,555
102,13,252
171,157,698
412,101,1826
55,178,482
522,393,1826
515,97,1888
260,40,1067
203,53,702
354,98,1522
124,27,380
67,789,1626
98,142,518
241,68,1092
703,358,2303
199,207,952
74,25,212
318,97,1190
46,57,261
19,767,1411
346,106,1170
31,389,1197
240,214,1079
343,133,1206
764,146,2344
48,3,44
11,349,1055
51,459,838
290,526,1984
353,515,2330
490,201,2115
565,160,1410
26,577,1582
156,296,748
608,217,1305
214,228,1011
20,609,1261
6,114,230
920,1316,2599
118,78,485
1003,331,2494
179,42,624
237,587,1888
78,9,210
114,128,374
154,94,535
170,152,0
72,101,439
550,111,1472
170,152,581
13,146,257
1055,392,2840
367,50,1390
152,184,1321
270,64,924
176,272,827
301,51,1370
356,317,1620
387,101,1277
423,97,1401
5,15,140
38,148,384
218,127,1182
491,162,1137
36,19,306
578,128,2260
243,343,1487
313,88,704
165,53,410
113,28,308
16,5,97
178,40,414
99,28,243
354,118,675
162,161,754
126,45,378
197,68,567
36,50,190
63,4,211
231,56,515
196,68,523
276,155,1298
100,64,257
111,291,1013
83,14,198
460,162,1349
239,29,793
357,407,2215
431,73,1881
1130,230,4596
484,95,1459
515,97,2282
190,25,385
414,238,2004
1093,253,4014
146,89,834
446,87,1567
170,63,742
151,45,461
122,431,493
237,74,874
255,55,826
231,65,802
694,175,2417
190,34,611
318,124,1038
293,52,857
46,15,147
296,56,877
374,71,1008
439,355,1675
890,170,2842
0,0,923
0,0,406
77,70,975
520,169,4657
175,62,977
153,158,832
38,238,895
236,183,851
3,391,748
1049,259,5193
333,51,1336
99,53,435
226,56,663
359,219,1483
951,207,3791
330,175,1699
193,103,643
345,107,765
452,95,1679
266,70,608
178,107,664
159,46,707
214,18,256
66,16,204
177,81,628
0,0,1631
332,226,3375
25,86,398
192,276,2375
88,92,334
99,110,618
178,65,441
23,118,528
491,167,3573
0,0,393
107,30,261
478,461,5193
58,482,2107
74,263,1853
406,268,2165
63,516,2207
1051,181,4152
92,175,907
737,251,3396
408,139,1107
647,309,2635
221,87,763
0,0,806
119,91,510
6,659,1837
84,13,268
2482,350,8552
1623,435,3471
41,489,3367
354,261,1344
22,445,1665
200,36,1209
191,19,435
746,134,2647
1130,167,2581
409,74,1472
81,74,951
156,37,435
231,66,1395
110,76,538
52,12,259
0,0,280
304,76,844
74,136,613
298,122,1054
66,155,3349
602,222,2082
331,86,1238
4,504,1745
341,125,1039
143,45,379
79,214,949
0,0,58
200,232,1343
428,54,2460
32,572,1733
221,354,2212
105,229,2161
6,300,572
566,395,2180
61,214,746
605,208,1645
268,94,1023
175,118,719
93,39,614
150,541,1409
84,21,504
204,39,605
343,129,1418
822,142,3376
284,108,690
225,136,954
141,288,958
31,415,742
122,199,1359
281,109,854
166,32,534
500,274,2857
189,70,513
0,0,1035
139,170,1298
0,0,2353
413,116,1234
284,176,1184
370,186,1206
15,229,907
0,0,1580
189,123,1168
241,36,906
338,72,1118
27,289,773
61,367,1677
0,0,800
264,77,619
265,149,1064
167,45,1035
0,0,1693
181,91,659
299,79,972
69,214,972
112,186,933
157,231,1362
100,307,1656
40,131,433
135,166,896
303,447,2000
0,0,1000
0,0,739
54,202,492
337,78,745
111,32,393
338,96,987
248,191,1147
301,112,863
380,137,1272
158,149,738
208,52,779
0,0,1280
37,74,137
60,417,976
161,22,847
0,0,658
64,11,269
110,120,711
53,182,603
39,17,106
221,142,970
0,0,837
53,18,199
46,17,196
60,21,25
251,98,969
271,64,453
60,21,131
0,0,402
275,204,953
357,122,1216
236,262,1732
0,141,591
257,121,1141
139,60,508
105,69,476
175,243,1207
180,269,1060
185,188,1048
315,78,1368
139,117,829
0,0,31
298,99,1044
0,0,300
72,300,1438
0,0,1021
0,0,284
0,0,5
327,92,820
41,7,221
189,65,767
70,39,220
226,109,854
0,0,8
112,44,453
0,0,633
0,0,614
0,0,4
0,0,723
103,24,382
78,25,333
89,34,310
89,48,369
191,157,1032
292,95,1454
50,15,169
815,162,2419
351,116,1649
302,206,1731
331,70,1139
123,36,614
255,215,1276
288,148,1425
379,127,1693
215,91,773
129,69,743
144,55,551
326,97,1316
148,33,492
133,39,434
376,109,1277
423,165,1859
251,65,812
144,338,1698
92,16,280
136,42,538
372,127,1322
111,29,487
355,94,1156
161,41,645
338,86,1877
75,35,329
362,186,2423
155,74,631
130,49,604
476,164,1960
22,189,573
366,136,1905
69,240,906
152,38,689
269,84,1091
148,46,813
100,18,354
160,95,1341
208,62,923
287,109,1443
398,116,1545
214,62,709
507,151,2759
134,44,744
349,100,1474
78,28,493
401,97,1494
180,46,597
168,339,1790
1408,179,4960
244,93,1034
1184,321,4273
48,12,329
303,74,1269
1182,255,5352
224,72,1735
188,55,1051
240,42,1369
310,125,2123
119,44,993
333,114,1709
581,180,3661
310,131,3239
804,314,4181
339,85,1683
621,153,3449
292,121,1116
76,25,497
1022,145,3888
877,176,2783
791,159,2733
0,0,3801
0,0,3151
195,117,1623
106,41,1282
696,260,6107
1298,237,5911
328,78,1919
598,214,4117
836,170,2607
303,84,1479
130,47,1627
272,79,1628
494,158,2011
0,0,1738
418,109,1761
103,722,2509
128,75,969
170,119,1732
282,135,2304
773,188,2351
623,234,2341
134,90,1057
1226,572,11245
902,303,5791
832,266,4372
360,113,2219
556,209,2096
0,0,24
480,174,2717
197,91,1028
0,0,1851
344,209,2556
914,468,5888
1176,403,8019
0,0,7822
1839,684,9046
920,302,4740
192,141,1753
662,217,3653
827,692,7898
0,0,5400
1822,689,10525
0,0,3327
321,154,1059
516,473,5510
336,129,1609
97,523,1243
22,836,1919
104,67,1324
0,0,200
422,85,1074
148,84,620
341,315,2174
252,148,728
224,53,1444
613,297,2377
880,305,3282
87,147,410
235,109,3413
15,536,2101
117,985,2692
761,172,1690
350,173,977
215,541,1446
124,78,259
1697,446,5743
670,361,5863
546,136,2682
93,1156,2083
1088,411,5083
617,359,3925
1930,1004,7182
121,192,522
281,97,725
1035,417,3620
196,80,454
1311,438,4612
82,513,1769
225,129,1207
228,200,852
1218,226,11216
127,511,5323
129,151,631
148,259,702
518,266,1848
42,374,1292
15,48,470
350,197,2262
409,358,1278
0,0,105
0,0,2351
60,73,568
161,367,1474
782,382,3902
390,183,827
212,394,2347
487,218,1362
802,521,3910
0,0,188
93,274,2559
710,346,2309
0,0,1432
330,95,700
238,159,1569
83,98,514
594,178,2147
609,113,1175
48,241,1048
0,0,1460
69,662,3531
1048,233,3587
670,225,2134
94,114,945
75,32,214
348,290,2279
373,208,1116
612,127,2181
164,57,510
57,210,507
1361,694,2311
457,164,1698
2183,400,1710
659,265,2709
175,32,626
336,54,815
433,110,1019
466,66,886
649,275,1775
2895,1545,1905
470,224,2241
609,113,0
641,526,2590
276,194,853
858,482,1992
191,141,1122
106,86,446
165,114,572
102,314,1103
558,334,1932
432,251,2419
60,36,783
337,252,3980
651,347,1820
285,197,1011
158,61,171
64,55,0
64,55,197
339,256,1407
