City/Town,Ward,Pct,Edward J. Markey,Gabriel E. Gomez,Total Votes Cast,pop by share of vote
Boston,19,2,514,206,721,4822.601605059946
Boston,19,3,393,60,455,3043.389362416471
Boston,19,4,577,36,614,4106.903447304863
Boston,19,5,472,63,536,3585.1795566048977
Boston,19,6,648,44,693,4635.316105834317
Boston,19,7,511,55,571,3819.286430636934
Boston,19,8,345,32,377,2521.6654717165043
Boston,19,9,293,29,324,2167.1607767537066
Boston,19,10,439,80,520,3478.1592713331092
Boston,19,11,235,27,263,1759.145939155015
Boston,19,12,343,61,406,2715.63973877162
Boston,19,13,230,58,290,1939.742670551157
Boston,20,1,437,158,603,4033.32700118051
Boston,20,2,404,121,530,3545.0469496279766
Boston,20,3,293,196,494,3304.251307766454
Boston,20,4,416,88,507,3391.205289549782
Boston,20,5,347,277,631,4220.612500406139
Boston,20,6,435,277,715,4782.468998083026
Boston,20,7,245,153,408,2729.0172744305933
Boston,20,8,276,123,401,2682.1958996241865
Boston,20,9,293,128,422,2822.660024043408
Boston,20,10,355,305,663,4434.653070949715
Boston,20,11,195,109,305,2040.0741879934585
Boston,20,12,230,189,421,2815.971256213921
Boston,20,13,208,165,373,2494.9104003985576
Boston,20,14,216,211,431,2882.858934508789
Boston,20,15,339,268,610,4080.148375986917
Boston,20,16,339,345,690,4615.2498023458575
Boston,20,17,413,310,730,4882.800515525327
Boston,20,18,230,144,379,2535.043007375478
Boston,20,19,229,172,402,2688.884667453673
Boston,20,20,356,195,560,3745.7099845125795
Boston,21,1,197,42,241,1611.9930469063065
Boston,21,2,44,5,49,327.7496236448507
Boston,21,3,109,15,126,842.7847465153303
Boston,21,4,108,23,132,882.9173534922509
Boston,21,5,160,28,188,1257.4883519435089
Boston,21,6,221,58,279,1866.166224426803
Boston,21,7,175,41,219,1464.8401546575979
Boston,21,8,195,38,236,1578.5492077588729
Boston,21,9,205,33,238,1591.9267434178464
Boston,21,10,183,56,241,1611.9930469063065
Boston,21,11,205,71,279,1866.166224426803
Boston,21,12,300,72,373,2494.9104003985576
Boston,21,13,455,127,584,3906.2404124202612
Boston,21,14,131,27,159,1063.5140848883932
Boston,21,15,166,31,197,1317.6872624088896
Boston,21,16,271,101,374,2501.599168228044
Boston,22,1,264,85,351,2347.757508149849
Boston,22,2,266,80,348,2327.691204661389
Boston,22,3,244,104,349,2334.3799724908754
Boston,22,4,236,90,328,2193.9158480716537
Boston,22,5,120,41,163,1090.26915620634
Boston,22,6,126,51,179,1197.289441478128
Boston,22,7,253,97,354,2367.823811638309
Boston,22,8,192,120,313,2093.5843306293523
Boston,22,9,195,65,264,1765.8347069845017
Boston,22,10,280,120,403,2695.5734352831596
Boston,22,11,161,89,253,1692.2582608601476
Boston,22,12,190,85,278,1859.4774565973164
Boston,22,13,157,79,237,1585.2379755883594
Bourne,-,1,176,299,480,2214.884372810091
Bourne,-,2,253,490,747,3446.913805185704
Bourne,-,3,127,217,345,1591.9481429572531
Bourne,-,4,272,459,733,3382.3130109787435
Bourne,-,5,333,422,760,3506.900256949311
Bourne,-,6,263,353,620,2860.8923148797007
Bourne,-,7,213,378,596,2750.1480962391965
Boxborough,-,1,736,591,1334,4996.0
Boxford,-,1,202,449,655,2453.939322671684
Boxford,-,2,264,491,763,2858.5583254938856
Boxford,-,3,249,456,708,2652.502351834431
Boylston,-,1,419,660,1086,4355.0
Braintree,-,1A,252,405,662,3100.4360587002097
Braintree,-,1B,218,306,529,2477.5387840670855
Braintree,-,2A,301,456,762,3568.7798742138366
Braintree,-,2B,283,409,701,3283.090146750524
Braintree,-,3A,262,281,543,2543.106918238994
Braintree,-,3B,293,319,620,2903.7316561844864
Braintree,-,4A,245,263,513,2402.6037735849054
Braintree,-,4B,195,264,460,2154.3815513626837
Braintree,-,5A,291,390,688,3222.2054507337525
Braintree,-,5B,268,373,646,3025.5010482180296
Braintree,-,6A,290,461,759,3554.729559748428
Braintree,-,6B,293,446,749,3507.895178197065
Brewster,-,1,580,516,1099,3539.580190226304
Brewster,-,2,542,499,1048,3375.3230567399146
Brewster,-,3,424,470,902,2905.0967530337816
Bridgewater,-,1,231,454,688,4990.536318951393
Bridgewater,-,2,252,430,687,4983.282632441289
Bridgewater,-,3,274,504,780,5657.87547788094
Bridgewater,-,4,127,179,307,2226.881758601857
Bridgewater,-,5,82,103,185,1341.9320043691973
Bridgewater,-,6,176,209,389,2821.6840524303657
Bridgewater,-,7,260,364,626,4540.807755324959
Brimfield,-,1,283,520,809,3609.0
Brockton,1,A,228,94,324,2851.5282859555305
Brockton,1,B,312,220,539,4743.74613003096
Brockton,1,C,210,147,359,3159.563748944554
Brockton,1,D,306,284,600,5280.607936954686
Brockton,2,A,256,18,275,2420.2786377708976
Brockton,2,B,175,47,222,1953.8249366732339
Brockton,2,C,163,31,195,1716.197579510273
Brockton,2,D,223,133,359,3159.563748944554
Brockton,3,A,277,115,393,3458.7981987053195
Brockton,3,B,220,55,276,2429.0796509991555
Brockton,3,C,269,269,542,4770.1491697157335
Brockton,3,D,300,272,575,5060.582606248241
