City/Town,Ward,Pct,Elizabeth A. Warren,Scott P. Brown,Total Votes Cast,pop by share of vote
Brockton,1,B,944,565,1526,4151.197912135711
Brockton,1,C,836,448,1294,3520.0852544584604
Brockton,1,D,871,778,1657,4507.558938668986
Brockton,2,A,766,81,866,2355.791213571118
Brockton,2,B,712,97,819,2227.936494127882
Brockton,2,C,681,87,780,2121.844280121792
Brockton,2,D,723,334,1064,2894.413223140496
Brockton,3,A,835,311,1155,3141.9617224880385
Brockton,3,B,822,197,1034,2812.8038277511964
Brockton,3,C,832,745,1587,4317.137016093954
Brockton,3,D,785,781,1574,4281.772944758591
Brockton,4,A,686,129,824,2241.5380600260983
Brockton,4,B,918,362,1289,3506.483688560243
Brockton,4,C,862,499,1367,3718.668116572423
Brockton,4,D,744,423,1177,3201.8086124401916
Brockton,5,A,900,205,1115,3033.149195302305
Brockton,5,B,908,478,1394,3792.1165724227926
Brockton,5,C,895,313,1215,3305.1805132666377
Brockton,5,D,859,571,1448,3939.013484123532
Brockton,6,A,720,288,1016,2763.8381905176166
Brockton,6,B,846,655,1511,4110.393214441061
Brockton,6,C,824,458,1289,3506.483688560243
Brockton,6,D,798,687,1496,4069.588516746411
Brockton,7,A,898,162,1075,2924.3366681165726
Brockton,7,B,983,286,1283,3490.1618094823834
Brockton,7,C,917,301,1233,3354.1461505002176
Brockton,7,D,836,505,1350,3672.4227925184864
Brookfield,-,1,701,1031,1743,3390.0
Brookline,-,1,1259,439,1707,3482.4246760915626
Brookline,-,2,958,282,1260,2570.506790788148
Brookline,-,3,1383,432,1830,3733.3551009065964
Brookline,-,4,1254,418,1684,3435.502726735906
Brookline,-,5,1490,448,1957,3992.445864740005
Brookline,-,6,1483,372,1868,3810.87832158116
Brookline,-,7,1309,424,1752,3574.2284900482823
Brookline,-,8,1438,355,1803,3678.272812532565
Brookline,-,9,1340,392,1751,3572.188405293689
Brookline,-,10,1274,473,1763,3596.669422348814
Brookline,-,11,1462,430,1902,3880.2412032373477
Brookline,-,12,1657,535,2204,4496.346799124666
Brookline,-,13,1314,531,1854,3782.317135016847
Brookline,-,14,1187,647,1854,3782.317135016847
Brookline,-,15,1138,791,1943,3963.884678175692
Brookline,-,16,1122,527,1657,3380.4204383618744
Buckland,-,1,684,342,1055,1902.0
Burlington,-,1,902,1346,2255,4120.151402147972
Burlington,-,2,690,740,1443,2636.5314737470167
Burlington,-,3,859,1065,1939,3542.7820704057276
Burlington,-,4,775,964,1750,3197.4567422434366
Burlington,-,5,865,1218,2097,3831.4667362768496
Burlington,-,6,902,1158,2076,3793.0972553699285
Burlington,-,7,865,973,1848,3376.514319809069
Cambridge,1,1,962,422,1401,2903.150052217778
Cambridge,1,2,1041,335,1390,2880.355869081164
Cambridge,1,3,1147,323,1498,3104.15330351337
Cambridge,2,1,1328,137,1482,3070.998128041932
Cambridge,2,2,462,120,606,1255.752270980709
Cambridge,2,3,771,248,1041,2157.1586041104256
Cambridge,3,1,1215,293,1523,3155.958265187491
Cambridge,3,2,832,128,971,2012.1047114228852
Cambridge,3,2A,603,93,703,1456.755522276301
Cambridge,3,3,1395,158,1577,3267.8569824035944
Cambridge,4,1,1657,170,1844,3821.1339730832133
Cambridge,4,2,1671,253,1941,4022.137224378805
Cambridge,4,3,570,107,690,1429.8169422057579
Cambridge,5,1,1426,188,1628,3373.5391042188025
Cambridge,5,2,1556,254,1823,3777.6178052769515
Cambridge,5,3,1165,155,1334,2764.3127549311316
Cambridge,6,1,1566,222,1799,3727.8850420697945
Cambridge,6,2,1464,255,1737,3599.408737117973
Cambridge,6,3,1617,287,1919,3976.5488581055783
Cambridge,7,1,1625,166,1808,3746.534828272478
Cambridge,7,2,946,156,1116,2312.5734891327907
Cambridge,7,3,691,109,813,1684.6973536424364
Cambridge,8,1,1150,204,1371,2840.9840982088317
