City/Town,Ward,Pct,Obama/ Biden,Romney/ Ryan,Total Votes Cast,pop by share of vote
Brookline,-,16,1184,430,1657,3380.4204383618744
Buckland,-,1,750,252,1055,1902.0
Burlington,-,1,1069,1154,2255,4120.151402147972
Burlington,-,2,831,585,1443,2636.5314737470167
Burlington,-,3,1028,875,1939,3542.7820704057276
Burlington,-,4,933,782,1750,3197.4567422434366
Burlington,-,5,1036,1028,2097,3831.4667362768496
Burlington,-,6,1065,965,2076,3793.0972553699285
Burlington,-,7,1021,802,1848,3376.514319809069
Cambridge,1,1,1042,328,1401,2903.150052217778
Cambridge,1,2,1092,249,1390,2880.355869081164
Cambridge,1,3,1209,237,1498,3104.15330351337
Cambridge,2,1,1353,79,1482,3070.998128041932
Cambridge,2,2,480,91,606,1255.752270980709
Cambridge,2,3,805,195,1041,2157.1586041104256
Cambridge,3,1,1273,185,1523,3155.958265187491
Cambridge,3,2,853,78,971,2012.1047114228852
Cambridge,3,2A,616,57,703,1456.755522276301
Cambridge,3,3,1407,97,1577,3267.8569824035944
Cambridge,4,1,1690,108,1844,3821.1339730832133
Cambridge,4,2,1689,175,1941,4022.137224378805
Cambridge,4,3,586,76,690,1429.8169422057579
Cambridge,5,1,1444,113,1628,3373.5391042188025
Cambridge,5,2,1570,182,1823,3777.6178052769515
Cambridge,5,3,1177,101,1334,2764.3127549311316
Cambridge,6,1,1563,159,1799,3727.8850420697945
Cambridge,6,2,1487,167,1737,3599.408737117973
Cambridge,6,3,1654,207,1919,3976.5488581055783
Cambridge,7,1,1615,119,1808,3746.534828272478
Cambridge,7,2,946,124,1116,2312.5734891327907
Cambridge,7,3,702,76,813,1684.6973536424364
Cambridge,8,1,1179,156,1371,2840.9840982088317
Cambridge,8,2,1201,147,1380,2859.6338844115157
Cambridge,8,3,485,57,570,1181.1531261699738
Cambridge,9,1,1849,266,2159,4473.8764901771465
Cambridge,9,2,1634,281,1973,4088.447575321681
Cambridge,9,3,1479,285,1810,3750.679225206408
Cambridge,10,1,1759,182,2005,4154.757926264557
Cambridge,10,2,1809,184,2056,4260.440048079766
Cambridge,10,3,1465,145,1647,3412.9108750911346
Cambridge,11,1,1228,89,1335,2766.3849533980965
Cambridge,11,2,1800,274,2157,4469.732093243217
Cambridge,11,3,1374,207,1642,3402.5498827563106
Canton,-,1,1047,844,1919,3317.741881164301
Canton,-,2,1155,970,2162,3737.862400769786
Canton,-,3,1046,842,1913,3307.368535001203
Canton,-,4,1071,1234,2337,4040.418330526822
