City/Town,Ward,Pct,John F. Kerry,Michael E. Cloud,Total Votes Cast,,
Chelsea,2,4,146,24,201,,
Chelsea,3,1,207,33,268,,
Chelsea,3,2,301,37,384,,
Chelsea,3,3,300,41,385,,
Chelsea,3,4,309,38,390,,
Chelsea,4,1,410,62,534,,
Chelsea,4,2,490,67,647,,
Chelsea,4,3,418,70,538,,
Chelsea,4,4,210,27,276,,
Cheshire,-,1,977,135,"1,174",,
Chester,-,1,297,124,461,,
Chesterfield,-,1,317,94,460,,
Chicopee,1,A,860,188,"1,134",,
Chicopee,1,B,917,183,"1,185",,
Chicopee,2,A,220,48,296,,
Chicopee,2,B,298,66,394,,
Chicopee,2,CN,108,25,137,,
Chicopee,2,CS,131,20,163,,
Chicopee,2,D,444,95,602,,
Chicopee,3,AE,227,39,282,,
Chicopee,3,AW,405,79,523,,
Chicopee,3,B,309,48,381,,
Chicopee,3,C,358,51,433,,
Chicopee,4,A,489,72,608,,
Chicopee,4,B,390,65,486,,
Chicopee,4,C,606,126,796,,
Chicopee,5,A,639,152,856,,
Chicopee,5,B,801,147,"1,011",,
Chicopee,6,AN,208,36,260,,
Chicopee,6,AS,418,80,542,,
Chicopee,6,BE,811,188,"1,072",,
Chicopee,6,BW,177,30,222,,
Chicopee,7,A,525,112,681,,
Chicopee,7,B,603,87,737,,
Chicopee,8,A,763,153,"1,004",,
Chicopee,8,B,726,125,928,,
Chicopee,9,A,821,171,"1,064",,
Chicopee,9,B,877,182,"1,149",,
Chilmark,-,1,443,75,594,,
Clarksburg,-,1,429,65,534,,
Clinton,-,1,960,226,"1,280",,
Clinton,-,2,697,196,993,,
Clinton,-,3,842,212,"1,135",,
Clinton,-,4,859,171,"1,110",,
Cohasset,-,1,"1,210",425,"1,945",,
Cohasset,-,2,"1,183",373,"1,795",,
Colrain,-,1,389,114,585,,
Concord,-,1,878,233,"1,345",,
Concord,-,2,"1,225",280,"1,732",,
Concord,-,3,"1,181",305,"1,783",,
Concord,-,4,"1,227",313,"1,769",,
Concord,-,5,"1,219",309,"1,816",,
Conway,-,1,603,129,917,,
Cummington,-,1,251,42,357,,
Dalton,-,1,908,137,"1,139",,
Dalton,-,2,908,129,"1,133",,
Danvers,-,1,945,197,"1,249",,
Danvers,-,2,"1,009",244,"1,376",,
Danvers,-,3,897,207,"1,222",,
Danvers,-,4,892,252,"1,313",,
Danvers,-,5,941,239,"1,324",,
Danvers,-,6,962,258,"1,386",,
Danvers,-,7,979,242,"1,343",,
Danvers,-,8,858,226,"1,206",,
Dartmouth,-,1,613,143,820,,
Dartmouth,-,2,547,93,706,,
Dartmouth,-,3,265,46,347,,
Dartmouth,-,4,706,114,882,,
Dartmouth,-,5,925,153,"1,186",,
Dartmouth,-,6,841,96,"1,024",,
Dartmouth,-,7,820,136,"1,047",,
Dartmouth,-,8,931,107,"1,123",,
Dartmouth,-,9,"1,138",217,"1,545",,
Dartmouth,-,10,883,231,"1,276",,
Dedham,-,1,898,346,"1,500",,
Dedham,-,2,"1,121",286,"1,546",,
Dedham,-,3,870,190,"1,163",,
Dedham,-,4,"1,256",257,"1,705",,
Dedham,-,5,"1,141",187,"1,469",,
Dedham,-,6,"1,043",230,"1,420",,
Dedham,-,7,"1,193",295,"1,666",,
Deerfield,-,1,"1,722",314,"2,282",,
Dennis,-,1,"1,129",379,"1,735",,
Dennis,-,2,"1,228",408,"1,862",,
Dennis,-,3,858,242,"1,210",,
Dennis,-,4,"1,072",330,"1,593",,
Dennis,-,5,"1,065",245,"1,434",,
Dighton,-,1,"1,556",403,"2,171",,
Douglas,-,1,961,281,"1,378",,
Douglas,-,2,940,273,"1,346",,
Dover,-,1,"1,683",744,"2,885",,
Dracut,-,1,771,252,"1,090",,
Dracut,-,2,731,202,"1,011",,
Dracut,-,3,945,244,"1,307",,
Dracut,-,4,851,251,"1,194",,
Dracut,-,5,736,256,"1,071",,
Dracut,-,6,731,200,996,,
Dracut,-,6A,51,5,60,,
Dracut,-,7,660,215,938,,
Dracut,-,8,"1,036",290,"1,415",,
Dracut,-,9,925,227,"1,223",,
Dudley,-,1,631,150,840,,
Dudley,-,2,530,117,694,,
Dudley,-,3,727,205,"1,018",,
Dudley,-,4,510,146,721,,
Dunstable,-,1,854,306,"1,291",,
Duxbury,-,1,809,262,"1,249",,
Duxbury,-,2,889,369,"1,499",,
Duxbury,-,3,780,256,"1,160",,
Duxbury,-,4,698,261,"1,075",,
Duxbury,-,5,745,255,"1,093",,
Duxbury,-,6,689,229,"1,073",,
E. Bridgewater,-,1,803,259,"1,169",,
E. Bridgewater,-,2,833,240,"1,184",,
E. Bridgewater,-,3,807,222,"1,143",,
E. Bridgewater,-,4,812,293,"1,221",,
E. Brookfield,-,1,553,164,808,,
E. Longmeadow,-,1,"1,025",262,"1,496",,
E. Longmeadow,-,2,958,217,"1,327",,
E. Longmeadow,-,3,"1,027",276,"1,547",,
E. Longmeadow,-,4,"1,106",322,"1,679",,
Eastham,-,1,"2,047",576,"2,953",,
Easthampton,-,1,"1,011",176,"1,306",,
Easthampton,-,2,809,144,"1,055",,
Easthampton,-,3,907,136,"1,163",,
Easthampton,-,4,"1,027",225,"1,456",,
Easthampton,-,5,"1,090",205,"1,403",,
Easton,-,1,678,228,"1,012",,
Easton,-,2,"1,147",343,"1,700",,
Easton,-,3,"1,001",310,"1,452",,
Easton,-,4,"1,079",324,"1,580",,
Easton,-,5,"1,137",302,"1,599",,
Easton,-,6,"1,027",322,"1,487",,
Edgartown,-,1,"1,189",255,"1,608",,
Egremont,-,1,438,87,587,,
Erving,-,1,396,67,503,,
Essex,-,1,"1,129",357,"1,653",,
Everett,1,1,468,93,625,,
Everett,1,2,285,65,514,,
Everett,1,3,358,81,492,,
Everett,2,1,398,86,539,,
Everett,2,2,372,84,517,,
Everett,2,3,346,66,468,,
Everett,3,1,640,126,861,,
Everett,3,2,432,74,562,,
Everett,3,3,512,113,679,,
Everett,4,1,570,109,765,,
Everett,4,2,457,73,601,,
Everett,4,3,419,95,574,,
Everett,5,1,518,77,661,,
Everett,5,2,405,75,546,,
Everett,5,3,383,102,543,,
Everett,6,1,456,97,632,,
Everett,6,2,391,94,548,,
Everett,6,3,391,75,544,,
Fairhaven,-,1,691,189,958,,
Fairhaven,-,2,826,119,"1,040",,
