City/Town,Ward,Pct,Elizabeth A. Warren,Scott P. Brown,Total Votes Cast,
Boston,20,16,677,723,"1,408",
Boston,20,17,773,718,"1,504",
Boston,20,18,452,331,787,
Boston,20,19,405,394,809,
Boston,20,20,768,538,"1,315",
Boston,21,1,851,297,"1,164",
Boston,21,2,614,157,792,
Boston,21,3,574,166,756,
Boston,21,4,477,123,608,
Boston,21,5,678,160,858,
Boston,21,6,571,160,742,
Boston,21,7,689,191,890,
Boston,21,8,828,219,"1,054",
Boston,21,9,867,235,"1,111",
Boston,21,10,620,229,856,
Boston,21,11,744,316,"1,069",
Boston,21,12,698,335,"1,060",
Boston,21,13,803,609,"1,431",
Boston,21,14,473,157,635,
Boston,21,15,555,214,781,
Boston,21,16,750,349,"1,110",
Boston,22,1,908,329,"1,255",
Boston,22,2,933,278,"1,234",
Boston,22,3,733,375,"1,117",
Boston,22,4,529,248,787,
Boston,22,5,418,176,604,
Boston,22,6,461,177,644,
Boston,22,7,677,314,"1,005",
Boston,22,8,522,387,915,
Boston,22,9,544,353,913,
Boston,22,10,730,348,"1,088",
Boston,22,11,487,239,737,
Boston,22,12,495,238,742,
Boston,22,13,355,218,587,
Bourne,-,1,569,901,"1,479",
Bourne,-,2,616,"1,093","1,724",
Bourne,-,3,366,523,895,
Bourne,-,4,721,"1,004","1,735",
Bourne,-,5,697,960,"1,665",
Bourne,-,6,534,709,"1,244",
Bourne,-,7,606,921,"1,532",
Boxborough,-,1,"1,423","1,525","2,965",
Boxford,-,1,549,"1,171","1,731",
Boxford,-,2,612,"1,164","1,785",
Boxford,-,3,553,"1,108","1,677",
Boylston,-,1,"1,040","1,632","2,693",
Braintree,-,1A,690,"1,011","1,715",
Braintree,-,1B,626,843,"1,474",
Braintree,-,2A,736,"1,000","1,748",
Braintree,-,2B,712,"1,029","1,759",
Braintree,-,3A,754,701,"1,463",
Braintree,-,3B,766,825,"1,607",
Braintree,-,4A,688,740,"1,437",
Braintree,-,4B,654,728,"1,390",
Braintree,-,5A,655,958,"1,631",
Braintree,-,5B,705,"1,020","1,737",
Braintree,-,6A,778,"1,189","1,981",
Braintree,-,6B,714,"1,006","1,729",
Brewster,-,1,"1,104","1,094","2,209",
Brewster,-,2,"1,129","1,037","2,184",
Brewster,-,3,"1,081","1,090","2,186",
Bridgewater,-,1,820,"1,499","2,327",
Bridgewater,-,2,805,"1,358","2,175",
Bridgewater,-,3,823,"1,527","2,364",
Bridgewater,-,4,440,665,"1,114",
Bridgewater,-,5,326,378,711,
Bridgewater,-,6,676,816,"1,506",
Bridgewater,-,7,764,"1,140","1,918",
Brimfield,-,1,782,"1,260","2,054",
Brockton,1,A,754,276,"1,047",
Brockton,1,B,944,565,"1,526",
Brockton,1,C,836,448,"1,294",
Brockton,1,D,871,778,"1,657",
Brockton,2,A,766,81,866,
Brockton,2,B,712,97,819,
Brockton,2,C,681,87,780,
Brockton,2,D,723,334,"1,064",
Brockton,3,A,835,311,"1,155",
Brockton,3,B,822,197,"1,034",
Brockton,3,C,832,745,"1,587",
Brockton,3,D,785,781,"1,574",
Brockton,4,A,686,129,824,
Brockton,4,B,918,362,"1,289",
Brockton,4,C,862,499,"1,367",
Brockton,4,D,744,423,"1,177",
Brockton,5,A,900,205,"1,115",
Brockton,5,B,908,478,"1,394",
Brockton,5,C,895,313,"1,215",
Brockton,5,D,859,571,"1,448",
Brockton,6,A,720,288,"1,016",
Brockton,6,B,846,655,"1,511",
Brockton,6,C,824,458,"1,289",
Brockton,6,D,798,687,"1,496",
Brockton,7,A,898,162,"1,075",
Brockton,7,B,983,286,"1,283",
Brockton,7,C,917,301,"1,233",
Brockton,7,D,836,505,"1,350",
Brookfield,-,1,701,"1,031","1,743",
Brookline,-,1,"1,259",439,"1,707",
Brookline,-,2,958,282,"1,260",
Brookline,-,3,"1,383",432,"1,830",
Brookline,-,4,"1,254",418,"1,684",
Brookline,-,5,"1,490",448,"1,957",
Brookline,-,6,"1,483",372,"1,868",
Brookline,-,7,"1,309",424,"1,752",
Brookline,-,8,"1,438",355,"1,803",
Brookline,-,9,"1,340",392,"1,751",
Brookline,-,10,"1,274",473,"1,763",
Brookline,-,11,"1,462",430,"1,902",
Brookline,-,12,"1,657",535,"2,204",
Brookline,-,13,"1,314",531,"1,854",
Brookline,-,14,"1,187",647,"1,854",
Brookline,-,15,"1,138",791,"1,943",
Brookline,-,16,"1,122",527,"1,657",
Buckland,-,1,684,342,"1,055",
Burlington,-,1,902,"1,346","2,255",
Burlington,-,2,690,740,"1,443",
Burlington,-,3,859,"1,065","1,939",
Burlington,-,4,775,964,"1,750",
Burlington,-,5,865,"1,218","2,097",
Burlington,-,6,902,"1,158","2,076",
Burlington,-,7,865,973,"1,848",
Cambridge,1,1,962,422,"1,401",
Cambridge,1,2,"1,041",335,"1,390",
Cambridge,1,3,"1,147",323,"1,498",
Cambridge,2,1,"1,328",137,"1,482",
Cambridge,2,2,462,120,606,
Cambridge,2,3,771,248,"1,041",
Cambridge,3,1,"1,215",293,"1,523",
Cambridge,3,2,832,128,971,
Cambridge,3,2A,603,93,703,
Cambridge,3,3,"1,395",158,"1,577",
Cambridge,4,1,"1,657",170,"1,844",
Cambridge,4,2,"1,671",253,"1,941",
