City/Town,Ward,Pct,Edward M. Kennedy,Kenneth G. Chase,Total Votes Cast,
Cambridge,9,1,"1,279",170,"1,488",
Cambridge,9,2,"1,260",208,"1,500",
Cambridge,9,3,"1,156",166,"1,360",
Cambridge,10,1,"1,273",133,"1,436",
Cambridge,10,2,"1,369",139,"1,542",
Cambridge,10,3,824,64,922,
Cambridge,11,1,613,30,677,
Cambridge,11,2,"1,129",198,"1,363",
Cambridge,11,3,"1,262",183,"1,483",
Canton,-,1,957,397,"1,396",
Canton,-,2,"1,077",450,"1,608",
Canton,-,3,916,476,"1,449",
Canton,-,4,924,579,"1,577",
Canton,-,5,"1,002",550,"1,623",
Canton,-,6,897,411,"1,357",
Carlisle,-,1,"1,677",834,"2,629",
Carver,-,1,856,585,"1,481",
Carver,-,2,835,545,"1,426",
Carver,-,3,878,610,"1,539",
Charlemont,-,1,342,135,498,
Charlton,-,1,765,601,"1,397",
Charlton,-,2,785,699,"1,528",
Charlton,-,3,869,616,"1,521",
Chatham,-,1,"1,032",814,"1,894",
Chatham,-,2,"1,082",899,"2,042",
Chelmsford,-,1,934,618,"1,613",
Chelmsford,-,2,837,447,"1,328",
Chelmsford,-,3,915,558,"1,533",
Chelmsford,-,4,814,531,"1,411",
Chelmsford,-,5,908,616,"1,579",
Chelmsford,-,6,"1,059",674,"1,813",
Chelmsford,-,7,"1,086",791,"1,956",
Chelmsford,-,8,"1,013",678,"1,763",
Chelmsford,-,9,"1,013",708,"1,776",
Chelsea,1,1,194,28,241,
Chelsea,1,2,127,20,164,
Chelsea,1,3,166,32,207,
Chelsea,1,4,194,28,237,
Chelsea,2,1,524,150,708,
Chelsea,2,2,179,21,224,
Chelsea,2,3,135,16,165,
Chelsea,2,4,134,25,188,
Chelsea,3,1,186,40,246,
Chelsea,3,2,306,54,381,
Chelsea,3,3,279,45,360,
Chelsea,3,4,234,57,309,
Chelsea,4,1,306,67,418,
Chelsea,4,2,410,101,548,
Chelsea,4,3,320,94,439,
Chelsea,4,4,211,49,270,
Cheshire,-,1,988,308,"1,318",
Chester,-,1,280,172,466,
Chesterfield,-,1,303,174,486,
Chicopee,1,A,676,338,"1,048",
