City/Town,Ward,Pct,John F. Kerry,Jeffrey K. Beatty,Total Votes Cast,,
Conway,-,1,931,241,"1,258",,
Cummington,-,1,385,123,541,,
Dalton,-,1,"1,291",373,"1,749",,
Dalton,-,2,"1,290",421,"1,818",,
Danvers,-,1,"1,017",528,"1,632",,
Danvers,-,2,"1,120",592,"1,811",,
Danvers,-,3,951,580,"1,616",,
Danvers,-,4,953,635,"1,690",,
Danvers,-,5,"1,008",653,"1,752",,
Danvers,-,6,"1,011",767,"1,866",,
Danvers,-,7,954,635,"1,662",,
Danvers,-,8,"1,189",733,"2,021",,
Dartmouth,-,1,"1,007",494,"1,614",,
Dartmouth,-,2,760,326,"1,172",,
Dartmouth,-,3,"1,145",223,"1,498",,
Dartmouth,-,4,"1,090",406,"1,609",,
Dartmouth,-,5,"1,196",580,"1,848",,
Dartmouth,-,6,"1,189",384,"1,689",,
Dartmouth,-,7,"1,155",515,"1,789",,
Dartmouth,-,8,"1,086",375,"1,577",,
Dartmouth,-,9,"1,232",706,"2,052",,
Dartmouth,-,10,"1,197",627,"1,962",,
Dedham,-,1,984,691,"1,789",,
Dedham,-,2,"1,147",576,"1,842",,
Dedham,-,3,989,450,"1,549",,
Dedham,-,4,"1,328",726,"2,205",,
Dedham,-,5,"1,046",604,"1,748",,
Dedham,-,6,"1,032",522,"1,654",,
Dedham,-,7,"1,181",757,"2,070",,
Deerfield,-,1,"2,217",668,"3,075",,
Dennis,-,1,"1,054",974,"2,108",,
Dennis,-,2,"1,061",934,"2,078",,
Dennis,-,3,811,655,"1,541",,
Dennis,-,4,"1,018",846,"1,935",,
Dennis,-,5,"1,040",788,"1,911",,
Dighton,-,1,"2,076","1,253","3,598",,
Douglas,-,1,"1,009",953,"2,071",,
Douglas,-,2,"1,103","1,007","2,251",,
Dover,-,1,"1,672","1,589","3,428",,
Dracut,-,1,932,694,"1,733",,
Dracut,-,2,753,560,"1,425",,
Dracut,-,3,869,665,"1,652",,
Dracut,-,4,922,831,"1,855",,
Dracut,-,5,821,651,"1,560",,
Dracut,-,6,833,545,"1,471",,
Dracut,-,6A,46,19,67,,
Dracut,-,7,802,604,"1,502",,
Dracut,-,8,"1,007",837,"1,949",,
Dracut,-,9,910,660,"1,670",,
Dudley,-,1,723,440,"1,223",,
Dudley,-,2,640,381,"1,093",,
Dudley,-,3,872,661,"1,621",,
Dudley,-,4,628,425,"1,128",,
Dunstable,-,1,938,815,"1,866",,
Duxbury,-,1,815,702,"1,597",,
