City/Town,Ward,Pct,Scott P. Brown,Martha Coakley,Total Votes Cast,,
E. Longmeadow,-,4,"1,266",491,"1,773",,
Eastham,-,1,"1,473","1,544","3,044",,
Easthampton,-,1,516,719,"1,253",,
Easthampton,-,2,345,734,"1,094",,
Easthampton,-,3,365,694,"1,080",,
Easthampton,-,4,523,891,"1,427",,
Easthampton,-,5,745,670,"1,444",,
Easton,-,1,658,367,"1,032",,
Easton,-,2,"1,040",631,"1,685",,
Easton,-,3,925,515,"1,453",,
Easton,-,4,"1,069",559,"1,637",,
Easton,-,5,"1,155",687,"1,852",,
Easton,-,6,"1,093",538,"1,641",,
Edgartown,-,1,772,"1,002","1,802",,
Egremont,-,1,172,445,621,,
Erving,-,1,208,296,512,,
Essex,-,1,"1,023",685,"1,728",,
Everett,1,1,206,254,465,,
Everett,1,2,163,178,344,,
Everett,1,3,190,176,374,,
Everett,2,1,215,224,443,,
Everett,2,2,186,235,427,,
Everett,2,3,165,230,404,,
Everett,3,1,333,334,678,,
Everett,3,2,153,199,357,,
Everett,3,3,236,246,493,,
Everett,4,1,296,274,580,,
Everett,4,2,188,251,450,,
Everett,4,3,219,193,416,,
Everett,5,1,252,273,536,,
Everett,5,2,201,218,421,,
Everett,5,3,181,231,419,,
Everett,6,1,240,269,516,,
Everett,6,2,198,227,432,,
Everett,6,3,176,236,425,,
Fairhaven,-,1,504,464,985,,
Fairhaven,-,2,552,504,"1,062",,
Fairhaven,-,3,402,424,839,,
