City/Town,Ward,Pct,Clinton/ Kaine,Trump/ Pence,Total Votes Cast,,,,,,,,,
Boston,20,3,787,339,"1,220",,,,,,,,,
Boston,20,4,862,105,"1,037",,,,,,,,,
Boston,20,5,757,381,"1,231",,,,,,,,,
Boston,20,6,927,358,"1,383",,,,,,,,,
Boston,20,7,590,207,861,,,,,,,,,
Boston,20,8,704,183,952,,,,,,,,,
Boston,20,9,778,211,"1,047",,,,,,,,,
Boston,20,10,955,474,"1,545",,,,,,,,,
Boston,20,11,470,165,672,,,,,,,,,
Boston,20,12,549,263,901,,,,,,,,,
Boston,20,13,508,229,802,,,,,,,,,
Boston,20,14,459,245,777,,,,,,,,,
Boston,20,15,878,462,"1,432",,,,,,,,,
Boston,20,16,845,510,"1,486",,,,,,,,,
Boston,20,17,"1,030",488,"1,642",,,,,,,,,
Boston,20,18,550,174,778,,,,,,,,,
Boston,20,19,527,246,846,,,,,,,,,
Boston,20,20,964,363,"1,410",,,,,,,,,
Boston,21,1,983,89,"1,159",,,,,,,,,
Boston,21,2,472,41,554,,,,,,,,,
Boston,21,3,689,80,831,,,,,,,,,
Boston,21,4,577,44,689,,,,,,,,,
Boston,21,5,936,78,"1,103",,,,,,,,,
Boston,21,6,657,93,811,,,,,,,,,
Boston,21,7,875,72,"1,018",,,,,,,,,
Boston,21,8,"1,001",80,"1,186",,,,,,,,,
Boston,21,9,987,104,"1,174",,,,,,,,,
Boston,21,10,861,131,"1,055",,,,,,,,,
Boston,21,11,988,112,"1,202",,,,,,,,,
Boston,21,12,904,192,"1,197",,,,,,,,,
Boston,21,13,854,303,"1,262",,,,,,,,,
Boston,21,14,654,61,780,,,,,,,,,
Boston,21,15,791,81,928,,,,,,,,,
Boston,21,16,846,165,"1,129",,,,,,,,,
Boston,22,1,"1,130",121,"1,397",,,,,,,,,
Boston,22,2,"1,249",169,"1,544",,,,,,,,,
Boston,22,3,"1,063",214,"1,403",,,,,,,,,
Boston,22,4,701,128,921,,,,,,,,,
Boston,22,5,598,123,790,,,,,,,,,
Boston,22,6,606,106,793,,,,,,,,,
Boston,22,7,949,155,"1,219",,,,,,,,,
Boston,22,8,669,199,940,,,,,,,,,
Boston,22,9,708,173,969,,,,,,,,,
Boston,22,10,835,163,"1,098",,,,,,,,,
Boston,22,11,596,130,787,,,,,,,,,
Boston,22,12,605,138,811,,,,,,,,,
Boston,22,13,571,124,747,,,,,,,,,
Bourne,-,1,687,829,"1,631",,,,,,,,,
Bourne,-,2,780,"1,001","1,925",,,,,,,,,
Bourne,-,3,435,542,"1,075",,,,,,,,,
Bourne,-,4,863,803,"1,831",,,,,,,,,
Bourne,-,5,808,773,"1,739",,,,,,,,,
Bourne,-,6,627,485,"1,228",,,,,,,,,
Bourne,-,7,710,768,"1,606",,,,,,,,,
Boxborough,-,1,"1,987",756,"3,069",,,,,,,,,
Boxford,-,1,786,711,"1,706",,,,,,,,,
Boxford,-,2,852,776,"1,813",,,,,,,,,
Boxford,-,3,816,707,"1,689",,,,,,,,,
Boylston,-,1,"1,424","1,125","2,861",,,,,,,,,
Braintree,-,1A,836,781,"1,759",,,,,,,,,
Braintree,-,1B,827,663,"1,608",,,,,,,,,
Braintree,-,2A,912,765,"1,833",,,,,,,,,
Braintree,-,2B,871,772,"1,802",,,,,,,,,
Braintree,-,3A,831,594,"1,552",,,,,,,,,
Braintree,-,3B,857,655,"1,653",,,,,,,,,
Braintree,-,4A,773,594,"1,509",,,,,,,,,
Braintree,-,4B,882,506,"1,504",,,,,,,,,
Braintree,-,5A,837,686,"1,669",,,,,,,,,
Braintree,-,5B,994,762,"1,928",,,,,,,,,
Braintree,-,6A,960,864,"1,984",,,,,,,,,
Braintree,-,6B,889,785,"1,825",,,,,,,,,
Brewster,-,1,"1,307",815,"2,324",,,,,,,,,
Brewster,-,2,"1,320",750,"2,281",,,,,,,,,
Brewster,-,3,"1,186",805,"2,210",,,,,,,,,
Bridgewater,-,1,"1,088","1,341","2,659",,,,,,,,,
Bridgewater,-,2,971,"1,095","2,271",,,,,,,,,
Bridgewater,-,3,"1,032","1,350","2,559",,,,,,,,,
Bridgewater,-,4,487,536,"1,134",,,,,,,,,
Bridgewater,-,5,334,310,713,,,,,,,,,
Bridgewater,-,6,860,706,"1,713",,,,,,,,,
Bridgewater,-,7,946,923,"2,091",,,,,,,,,
Brimfield,-,1,793,"1,113","2,126",,,,,,,,,
Brockton,1,A,906,179,"1,135",,,,,,,,,
Brockton,1,B,980,381,"1,461",,,,,,,,,
Brockton,1,C,908,354,"1,338",,,,,,,,,
Brockton,1,D,"1,049",611,"1,823",,,,,,,,,
Brockton,2,A,809,60,899,,,,,,,,,
Brockton,2,B,746,89,868,,,,,,,,,
Brockton,2,C,754,79,859,,,,,,,,,
Brockton,2,D,857,253,"1,179",,,,,,,,,
Brockton,3,A,918,257,"1,235",,,,,,,,,
Brockton,3,B,882,164,"1,101",,,,,,,,,
Brockton,3,C,984,544,"1,627",,,,,,,,,
Brockton,3,D,932,557,"1,610",,,,,,,,,
Brockton,4,A,752,108,883,,,,,,,,,
Brockton,4,B,992,279,"1,345",,,,,,,,,
Brockton,4,C,943,410,"1,438",,,,,,,,,
Brockton,4,D,927,409,"1,423",,,,,,,,,
Brockton,5,A,972,151,"1,180",,,,,,,,,
Brockton,5,B,961,387,"1,452",,,,,,,,,
