City/Town,Ward,Pct,Obama/ Biden,McCain/ Palin,Total Votes Cast,,,,,,
Brockton,4,D,955,409,"1,395",,,,,,
Brockton,5,A,841,151,"1,021",,,,,,
Brockton,5,B,951,394,"1,378",,,,,,
Brockton,5,C,850,247,"1,127",,,,,,
Brockton,5,D,898,474,"1,420",,,,,,
Brockton,6,A,718,266,"1,007",,,,,,
Brockton,6,B,813,498,"1,351",,,,,,
Brockton,6,C,824,436,"1,296",,,,,,
Brockton,6,D,887,570,"1,486",,,,,,
Brockton,7,A,774,159,944,,,,,,
Brockton,7,B,954,293,"1,275",,,,,,
Brockton,7,C,900,276,"1,200",,,,,,
Brockton,7,D,851,442,"1,327",,,,,,
Brookfield,-,1,875,829,"1,770",,,,,,
Brookline,-,1,"1,356",246,"1,636",,,,,,
Brookline,-,2,"1,025",208,"1,267",,,,,,
Brookline,-,3,"1,464",245,"1,737",,,,,,
Brookline,-,4,"1,202",298,"1,534",,,,,,
Brookline,-,5,"1,378",234,"1,660",,,,,,
Brookline,-,6,"1,516",194,"1,740",,,,,,
Brookline,-,7,"1,451",287,"1,778",,,,,,
Brookline,-,8,"1,457",209,"1,698",,,,,,
Brookline,-,9,"1,401",275,"1,730",,,,,,
Brookline,-,10,"1,387",306,"1,733",,,,,,
Brookline,-,11,"1,532",282,"1,866",,,,,,
Brookline,-,12,"1,564",311,"1,912",,,,,,
Brookline,-,13,"1,436",291,"1,763",,,,,,
Brookline,-,14,"1,520",439,"2,008",,,,,,
Brookline,-,15,"1,415",568,"2,033",,,,,,
Brookline,-,16,"1,380",449,"1,876",,,,,,
Buckland,-,1,785,249,"1,078",,,,,,
Burlington,-,1,"1,168","1,073","2,281",,,,,,
Burlington,-,2,"1,074",801,"1,929",,,,,,
Burlington,-,3,"1,323","1,088","2,476",,,,,,
Burlington,-,4,983,738,"1,775",,,,,,
Burlington,-,5,"1,183","1,002","2,245",,,,,,
Burlington,-,6,"1,091","1,001","2,149",,,,,,
Cambridge,1,1,"1,275",317,"1,644",,,,,,
Cambridge,1,2,"1,042",230,"1,305",,,,,,
Cambridge,1,3,"1,041",243,"1,325",,,,,,
Cambridge,2,1,"1,288",80,"1,392",,,,,,
Cambridge,2,2,342,42,397,,,,,,
Cambridge,2,3,307,58,384,,,,,,
Cambridge,3,1,996,175,"1,212",,,,,,
Cambridge,3,2,"1,279",105,"1,436",,,,,,
Cambridge,3,3,"1,056",64,"1,148",,,,,,
Cambridge,4,1,"1,501",81,"1,612",,,,,,
Cambridge,4,2,"1,604",127,"1,771",,,,,,
Cambridge,4,3,637,71,728,,,,,,
Cambridge,5,1,"1,603",134,"1,775",,,,,,
Cambridge,5,2,"1,540",109,"1,682",,,,,,
Cambridge,5,3,"1,623",159,"1,840",,,,,,
Cambridge,6,1,"1,486",142,"1,675",,,,,,
Cambridge,6,2,"1,372",128,"1,535",,,,,,
Cambridge,6,3,"1,555",153,"1,744",,,,,,
Cambridge,7,1,"1,460",112,"1,603",,,,,,
Cambridge,7,2,764,70,863,,,,,,
Cambridge,7,3,534,60,610,,,,,,
Cambridge,8,1,"1,068",99,"1,189",,,,,,
Cambridge,8,2,"1,501",150,"1,692",,,,,,
Cambridge,8,3,401,29,444,,,,,,
Cambridge,9,1,"1,663",180,"1,880",,,,,,
Cambridge,9,2,"1,578",301,"1,925",,,,,,
Cambridge,9,3,"1,478",275,"1,792",,,,,,
Cambridge,10,1,"1,763",174,"1,978",,,,,,
Cambridge,10,2,"1,709",165,"1,908",,,,,,
Cambridge,10,3,"1,176",79,"1,288",,,,,,
Cambridge,11,1,"1,102",58,"1,175",,,,,,
Cambridge,11,2,"1,514",259,"1,822",,,,,,
Cambridge,11,3,"1,618",268,"1,953",,,,,,
Canton,-,1,"1,054",793,"1,888",,,,,,
Canton,-,2,"1,182",883,"2,110",,,,,,
Canton,-,3,"1,101",883,"2,038",,,,,,
Canton,-,4,"1,014","1,066","2,129",,,,,,
Canton,-,5,"1,067",983,"2,098",,,,,,
Canton,-,6,"1,042",788,"1,881",,,,,,
Carlisle,-,1,"2,116","1,053","3,246",,,,,,
Carver,-,1,"1,025",964,"2,097",,,,,,
Carver,-,2,944,980,"2,023",,,,,,
Carver,-,3,968,957,"2,057",,,,,,
Charlemont,-,1,486,175,694,,,,,,
Charlton,-,1,944,"1,093","2,099",,,,,,
Charlton,-,2,902,"1,200","2,169",,,,,,
Charlton,-,3,"1,037","1,118","2,218",,,,,,
Chatham,-,1,"1,202","1,016","2,275",,,,,,
Chatham,-,2,"1,383","1,100","2,527",,,,,,
Chelmsford,-,1,"1,087",949,"2,094",,,,,,
Chelmsford,-,2,"1,071",772,"1,904",,,,,,
Chelmsford,-,3,"1,092",946,"2,090",,,,,,
Chelmsford,-,4,"1,005",886,"1,942",,,,,,
Chelmsford,-,5,"1,165",932,"2,158",,,,,,
Chelmsford,-,6,"1,284",989,"2,341",,,,,,
Chelmsford,-,7,"1,251","1,126","2,423",,,,,,
Chelmsford,-,8,"1,215","1,064","2,340",,,,,,
Chelmsford,-,9,"1,190","1,048","2,291",,,,,,
Chelsea,1,1,286,68,365,,,,,,
Chelsea,1,2,224,50,282,,,,,,
Chelsea,1,3,294,71,385,,,,,,
Chelsea,1,4,274,72,363,,,,,,
Chelsea,2,1,673,251,958,,,,,,
